Item;Condition;Familiarity;Compositionality;Predictability;Register;Spelling;Pin_yin;Ur_Pinyin;Fig_Transl;Lit_Transl;Last_char;Strokes;StrokeDiff
36;noP;4.630;NA;0.769;NA;求真务优;qiu2 zhen1 wu4 you1;NA;NA;search truth concentrate eccellent;优;6;-2
37;corr;4.663;3.686;1;0.741;游刃有余;you2 ren4 you3 yu2;yóu rèn yǒu yú;sort it out with skills;move blade have extra;余;7;NA
37;diffT;4.663;NA;1;NA;游刃有雨;you2 ren4 you3 yu4;NA;NA;move blade have rain;雨;8;1
37;sameT;4.663;NA;1;NA;游刃有鱼;you2 ren4 you3 yu2;NA;NA;move blade have fish;鱼;8;1
37;noP;4.663;NA;1;NA;游刃有沽;you2 ren4 you3 gu1;NA;NA;move blade have buy;沽;8;1
38;corr;4.652;4.294;0.769;0.852;独树一帜;du2 shu4 yi1 zhi4;dú shù yī zhì;stand out;only stand one flag;帜;8;NA
38;diffT;4.652;NA;0.769;NA;独树一直;du2 shu4 yi1 zhi2;NA;NA;only stand one straighten;直;8;0
38;sameT;4.652;NA;0.769;NA;独树一质;du2 shu4 yi1 zhi4;NA;NA;only stand one question;质;8;0
38;noP;4.652;NA;0.769;NA;独树一终;du2 shu4 yi1 zhong1;NA;NA;only stand one end;终;8;0
39;corr;4.324;3.765;1;0.852;琳琅满目;lin2 lang2 man3 mu4;lín láng mǎn mù;beautiful things to see;beautiful jem full eye;目;5;NA
39;diffT;4.324;NA;1;NA;琳琅满母;lin2 lang2 man3 mu3;NA;NA;beautiful jem full mother;母;5;0
39;sameT;4.324;NA;1;NA;琳琅满木;lin2 lang2 man3 mu4;NA;NA;beautiful jem full tree;木;4;-1
39;noP;4.324;NA;1;NA;琳琅满汁;lin2 lang2 man3 zhi1;NA;NA;beautiful jem full juice;汁;5;0
40;corr;4.828;4.521;1;0.556;甜言蜜语;tian2 yan2 mi4 yu3;tián yán mì yǔ;to use flattering words;sweet words honey speech;语;9;NA
40;diffT;4.828;NA;1;NA;甜言蜜鱼;tian2 yan2 mi4 yu2;NA;NA;sweet words honey fish;鱼;8;-1
40;sameT;4.828;NA;1;NA;甜言蜜俣;tian2 yan2 mi4 yu3;NA;NA;sweet words honey big;俣;9;0
40;noP;4.828;NA;1;NA;甜言蜜帜;tian2 yan2 mi4 zhi4;NA;NA;sweet words honey flag;帜;8;-1
41;corr;4.782;4.322;1;0.778;精打细算;jing1 da3 xi4 suan4;jīng dǎ xì suàn;to plan in detail;refined do subtle count;算;14;NA
41;diffT;4.782;NA;1;NA;精打细酸;jing1 da3 xi4 suan1;NA;NA;refined do subtle sour;酸;14;0
41;sameT;4.782;NA;1;NA;精打细蒜;jing1 da3 xi4 suan4;NA;NA;refined do subtle garlic;蒜;13;-1
41;noP;4.782;NA;1;NA;精打细疑;jing1 da3 xi4 yi2;NA;NA;refined do subtle doubt;疑;14;0
42;corr;4.382;3.608;1;0.815;耐人寻味;nai4 ren2 xun2 wei4;nài rén xún wèi;to spark the imagination;resist people search taste;味;8;NA
42;diffT;4.382;NA;1;NA;耐人寻违;nai4 ren2 xun2 wei2;NA;NA;resist people search disobey;违;7;-1
42;sameT;4.382;NA;1;NA;耐人寻畏;nai4 ren2 xun2 wei4;NA;NA;resist people search fear;畏;9;1
42;noP;4.382;NA;1;NA;耐人寻邸;nai4 ren2 xun2 di3;NA;NA;resist people search residence;邸;7;-1
43;corr;4.632;4.431;1;0.778;自始至终;zi4 shi3 zhi4 zhong1;zì shǐ zhì zhōng;endless;from beginning to end;终;8;NA
43;diffT;4.632;NA;1;NA;自始至重;zi4 shi3 zhi4 zhong4;NA;NA;from beginning to heavy;重;9;1
43;sameT;4.632;NA;1;NA;自始至衷;zi4 shi3 zhi4 zhong1;NA;NA;from beginning to innerfeelings;衷;10;2
43;noP;4.632;NA;1;NA;自始至珏;zi4 shi3 zhi4 yue2;NA;NA;from beginning to jade;珏;9;1
44;corr;4.691;4.216;1;0.852;自欺欺人;zi4 qi1 qi1 ren2;zì qī qī rén;to deceive;self deceive deceive person;人;2;NA
44;diffT;4.691;NA;1;NA;自欺欺刃;zi4 qi1 qi1 ren4;NA;NA;self deceive deceive edge_of_the_knife;刃;3;1
44;sameT;4.691;NA;1;NA;自欺欺壬;zi4 qi1 qi1 ren2;NA;NA;self deceive deceive ninth;壬;4;2
44;noP;4.691;NA;1;NA;自欺欺力;zi4 qi1 qi1 li4;NA;NA;self deceive deceive power;力;2;0
45;corr;4.850;4.686;1;0.667;自言自语;zi4 yan2 zi4 yu3;zì yán zì yǔ;think out loud;self talk self speech;语;9;NA
45;diffT;4.850;NA;1;NA;自言自鱼;zi4 yan2 zi4 yu2;NA;NA;self talk self fish;鱼;8;-1
45;sameT;4.850;NA;1;NA;自言自俣;zi4 yan2 zi4 yu3;NA;NA;self talk self big;俣;9;0
45;noP;4.850;NA;1;NA;自言自直;zi4 yan2 zi4 zhi2;NA;NA;self talk self straighten;直;8;-1
46;corr;4.152;3.784;0.769;0.852;舞文弄墨;wu3 wen2 nong4 mo4;wǔ wén nòng mò;play with words;play writing manipulate ink;墨;15;NA
46;diffT;4.152;NA;0.769;NA;舞文弄模;wu3 wen2 nong4 mo2;NA;NA;play writing manipulate model;模;13;-2
46;sameT;4.152;NA;0.769;NA;舞文弄磨;wu3 wen2 nong4 mo4;NA;NA;play writing manipulate grind;磨;16;1
46;noP;4.152;NA;0.769;NA;舞文弄酸;wu3 wen2 nong4 suan1;NA;NA;play writing manipulate sour;酸;14;-1
47;corr;4.667;4.561;1;0.889;若隐若现;ruo4 yin3 ruo4 xian4;ruò yǐn ruò xiàn;be vague;like hide like appear;现;8;NA
