Item;Condition;Familiarity;Compositionality;Predictability;Register;Spelling;Pin_yin;Ur_Pinyin;Fig_Transl;Lit_Transl;Last_char;Strokes;StrokeDiff;Frequency;Frequency_Percentage;Sem_Distance;Levenshtein_Distance;Relative_Frequency
31;sameT;4.759;NA;0.909;NA;日新月亦;ri4 xin1 yue4 yi4;NA;NA;sun new moon also;亦;6;0;37960;0.019617%;0.503051906824112;0.6;0.000196171637118
31;noP;4.759;NA;0.909;NA;日新月汁;ri4 xin1 yue4 zhi1;NA;NA;sun new moon juice;汁;5;-1;3564;0.001842%;0.671718776226044;1;0.000018418222199
32;corr;4.543;3.235;0.538;0.889;有的放矢;you3 de5 fang4 shi3;yǒu de fàng shǐ;to have a precise goal;have target throw arrow;矢;5;NA;2466;0.001274%;NA;0;0.000012743921421
32;diffT;4.543;NA;0.538;NA;有的放石;you3 de5 fang4 shi2;NA;NA;have target throw rock;石;5;0;102149;0.052789%;0.547932922840118;0.6;0.000527890847207
32;sameT;4.543;NA;0.538;NA;有的放史;you3 de5 fang4 shi3;NA;NA;have target throw history;史;5;0;90469;0.046753%;0.736730813980103;1;0.000467530343478
32;noP;4.543;NA;0.538;NA;有的放叶;you3 de5 fang4 ye4;NA;NA;have target throw leaf;叶;5;0;36032;0.018621%;0.66441348195076;1;0.000186208019722
33;corr;4.256;3.898;0.75;0.963;标本兼治;biao1 ben3 jian1 zhi4;biāo běn jiān zhì;deal with multiple problems;surface root together treat;治;8;NA;156904;0.081086%;NA;0;0.000810856547692
33;diffT;4.256;NA;0.75;NA;标本兼直;biao1 ben3 jian1 zhi2;NA;NA;surface root together straighten;直;8;0;169439;0.087564%;0.639271020889282;0.75;0.000875635564322
33;sameT;4.256;NA;0.75;NA;标本兼质;biao1 ben3 jian1 zhi4;NA;NA;surface root together question;质;8;0;104560;0.054035%;0.636192739009857;0.8;0.000540350536804
33;noP;4.256;NA;0.75;NA;标本兼鱼;biao1 ben3 jian1 yu2;NA;NA;surface root together fish;鱼;8;0;40452;0.020905%;0.698346316814423;1;0.000209049922674
34;corr;4.719;4.474;0.867;0.889;根深蒂固;gen1 shen1 di4 gu4;gēn shēn dì gù;deeply rooted thing;root deep sprout strong;固;8;NA;37582;0.019422%;NA;0;0.000194218189309
34;diffT;4.719;NA;0.867;NA;根深蒂沽;gen1 shen1 di4 gu1;NA;NA;root deep sprout buy;沽;8;0;1043;0.000539%;0.640496015548706;0.4;0.000005390068955
34;sameT;4.719;NA;0.867;NA;根深蒂故;gen1 shen1 di4 gu4;NA;NA;root deep sprout old;故;9;1;70067;0.036210%;0.435827255249023;0.4;0.000362095840304
34;noP;4.719;NA;0.867;NA;根深蒂直;gen1 shen1 di4 zhi2;NA;NA;root deep sprout straighten;直;8;0;169439;0.087564%;0.668773859739304;0.5;0.000875635564322
35;corr;4.93;4.439;1;0.704;欢天喜地;huan1 tian1 xi3 di4;huān tiān xǐ dì;extremely happy;happy sky joyful earth;地;6;NA;969349;0.500945%;NA;0;0.005009451535006
35;diffT;4.93;NA;1;NA;欢天喜籴;huan1 tian1 xi3 di3;NA;NA;happy sky joyful buy grain;籴;8;2;106;0.000055%;0.783965408802032;0.75;0.000000547792243
35;sameT;4.93;NA;1;NA;欢天喜弟;huan1 tian1 xi3 di4;NA;NA;happy sky joyful brother;弟;9;3;42706;0.022070%;0.723620921373367;0.833333333333333;0.000220698259609
35;noP;4.93;NA;1;NA;欢天喜怡;huan1 tian1 xi3 yi2;NA;NA;happy sky joyful harmonious;怡;8;2;3649;0.001886%;0.729042232036591;0.6;0.000018857489564
36;corr;4.63;4.686;0.769;0.519;求真务实;qiu2 zhen1 wu4 shi2;qiú zhēn wù shí;do things seriously;search truth concentrate truth;实;8;NA;368494;0.190432%;NA;0;0.001904322214126
36;diffT;4.63;NA;0.769;NA;求真务式;qiu2 zhen1 wu4 shi4;NA;NA;search truth concentrate type;式;6;-2;142292;0.073534%;0.616571426391602;1;0.000735343903815
